Time,evapo temperature,evapo relative humidity,compressor power
1.055000000000000000e+03,1.560956479975279976e+01,4.296395182476639718e+01,6.396350644349689674e+02
1.055250000000000000e+03,1.539106723080420025e+01,4.374146972980530279e+01,6.988547906846549722e+02
1.055500000000000000e+03,1.515172529659069944e+01,4.459800333167080311e+01,7.618836014782690427e+02
1.055750000000000000e+03,1.490104878655120046e+01,4.549627195336349672e+01,8.256751998151299858e+02
1.056000000000000000e+03,1.463643963966019967e+01,4.645176696637380331e+01,8.924840358658869945e+02
1.056250000000000000e+03,1.437112374456170016e+01,4.727207955903970316e+01,9.137024091430670296e+02
1.056500000000000000e+03,1.408474251936159938e+01,4.807003772933850172e+01,9.031999070716880169e+02
1.056750000000000000e+03,1.376971913388750046e+01,4.891483361392550222e+01,8.704539083297370325e+02
1.057000000000000000e+03,1.341879122715790018e+01,4.987757578468340114e+01,8.273194976158430336e+02
1.057250000000000000e+03,1.304787603438940025e+01,5.094933276276690037e+01,7.964371679925300214e+02
1.057500000000000000e+03,1.268314354472049921e+01,5.206034268711950119e+01,7.766694944570849657e+02
1.057750000000000000e+03,1.235410690639089992e+01,5.305449076381110274e+01,7.700123617030629930e+02
1.058000000000000000e+03,1.205137686997399982e+01,5.397133894750579941e+01,7.703630788322959688e+02
1.058250000000000000e+03,1.175904357258560040e+01,5.484430793247179992e+01,7.753767692633530260e+02
1.058500000000000000e+03,1.149701767601700020e+01,5.562458964712549658e+01,7.807360941691040352e+02
1.058750000000000000e+03,1.125986207762990077e+01,5.625703800321190329e+01,7.815917518832610540e+02
1.059000000000000000e+03,1.105534416420909949e+01,5.672124090749459668e+01,7.784566836445629860e+02
1.059250000000000000e+03,1.088439695178679933e+01,5.692178538158879775e+01,7.553339264672449644e+02
1.059500000000000000e+03,1.074688724028120035e+01,5.695610067011020305e+01,7.181692065254050021e+02
1.059750000000000000e+03,1.065008455222520034e+01,5.687677887734169957e+01,6.749684984713860558e+02
1.060000000000000000e+03,1.059046010515019987e+01,5.671498416482450011e+01,6.368034598909949864e+02
1.060250000000000000e+03,1.055017163404989944e+01,5.656400141397180192e+01,6.079294527284539527e+02
1.060500000000000000e+03,1.051971472670039986e+01,5.644482353822670007e+01,5.856443672873519972e+02
1.060750000000000000e+03,1.049403760750560011e+01,5.636707413917729781e+01,5.691214729795040057e+02
1.061000000000000000e+03,1.046980447198700048e+01,5.633481182697639866e+01,5.574538712955339861e+02
1.061250000000000000e+03,1.044517707394870065e+01,5.634672734949810291e+01,5.496320132662590368e+02
1.061500000000000000e+03,1.041957653778730020e+01,5.639683368351980164e+01,5.445749986917960541e+02
1.061750000000000000e+03,1.039280629098380082e+01,5.647985205232139805e+01,5.415300075430819788e+02
1.062000000000000000e+03,1.036487769288759964e+01,5.659117998502399871e+01,5.399754394021180133e+02
1.062250000000000000e+03,1.033603730506239948e+01,5.672590110148789933e+01,5.394799898529489610e+02
1.062500000000000000e+03,1.030674981524099998e+01,5.687851349463389994e+01,5.396514508229040530e+02
1.062750000000000000e+03,1.027746307882869914e+01,5.704435668352660116e+01,5.402307638390930151e+02
1.063000000000000000e+03,1.024857398249340079e+01,5.721951090467369738e+01,5.410501184918259696e+02
1.063250000000000000e+03,1.022933778375350045e+01,5.732684181202240126e+01,5.352200876740030253e+02
1.063500000000000000e+03,1.022086029887199921e+01,5.737149461386709959e+01,5.246788359744659829e+02
1.063750000000000000e+03,1.022147005580520052e+01,5.736565991051190139e+01,5.126095954973440030e+02
1.064000000000000000e+03,1.022885463698720088e+01,5.732196668715099719e+01,5.017624384218360092e+02
1.064250000000000000e+03,1.024013779670199931e+01,5.728126155114620133e+01,4.929771555445619811e+02
1.064500000000000000e+03,1.025228346784810007e+01,5.725205529165670271e+01,4.861386818317899952e+02
1.064750000000000000e+03,1.026400954361050033e+01,5.723699207173940096e+01,4.808967656246909996e+02
1.065000000000000000e+03,1.027449549964990005e+01,5.723699473502099977e+01,4.769593874098600281e+02
1.065250000000000000e+03,1.028335512935029961e+01,5.725115367595890348e+01,4.740549044789379991e+02
1.065500000000000000e+03,1.029048144558409916e+01,5.727768252375140179e+01,4.719508491796569842e+02
1.065750000000000000e+03,1.029592489946210065e+01,5.731448977184300020e+01,4.704550299723380249e+02
1.066000000000000000e+03,1.029981801229340022e+01,5.735952611925149824e+01,4.694171727741319842e+02
1.066250000000000000e+03,1.030250568702600056e+01,5.740964518182700260e+01,4.686485556824100058e+02
1.066500000000000000e+03,1.030460446619859916e+01,5.746021889927680348e+01,4.679017539969299833e+02
1.066750000000000000e+03,1.030659399395569942e+01,5.750829737890680349e+01,4.670628384754219837e+02
1.067000000000000000e+03,1.030879444397699984e+01,5.755227775228910048e+01,4.661010770098479838e+02
1.067250000000000000e+03,1.031527766639660015e+01,5.755121434851700002e+01,4.620663720881480003e+02
1.067500000000000000e+03,1.032661362259210058e+01,5.751200624500309999e+01,4.559566197760310047e+02
1.067750000000000000e+03,1.034257606746099967e+01,5.744261202512159770e+01,4.485479531653620029e+02
1.068000000000000000e+03,1.036348005677579920e+01,5.735159291979319818e+01,4.408373966153699826e+02
1.068250000000000000e+03,1.038394653607489992e+01,5.729590743304790124e+01,4.357234025064619800e+02
1.068500000000000000e+03,1.040380747302270059e+01,5.724715204200799690e+01,4.316777176160280192e+02
1.068750000000000000e+03,1.042231565192959941e+01,5.720643371097860097e+01,4.284992421175870163e+02
1.069000000000000000e+03,1.043906323303619921e+01,5.717389703110590204e+01,4.260143183318190268e+02
1.069250000000000000e+03,1.045392521194940016e+01,5.714886365250549716e+01,4.240623724405859889e+02
